Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/refs_doc.html,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/occs/refs.csv?datainfo&rowcount&base_name=Eukaryota&occs_created_after=2021-01-01&select=taxonomy&private&all_records,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Tue 2024-06-04 16:38:00 GMT,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,
,all_records,1,,,,,,,,,,,,,,,,,,,,,,,
,ref_type,taxonomy,,,,,,,,,,,,,,,,,,,,,,,
,base_name,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,,,,,,,,,,
,occs_created_after,01/01/2021 00:00,,,,,,,,,,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,,,,,,,,,,
,private,1,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,2.41,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,1112,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,1112,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,
reference_no,record_type,publication_type,reftitle,pubyr,author1init,author1last,author2init,author2last,otherauthors,editors,refabbr,pubtitle,pubabbr,r_journal,r_booktitle,r_school,publisher,pubcity,pubvol,pubno,firstpage,lastpage,language,doi,ref_type
17879,ref,journal article,"Biostratigraphy and paleoecology of a diatomaceous clay unit in the Miocene Pungo River Formation of Beaufort County, North Carolina",1983,W. H.,Abbott,J. J.,Ernissee,,,,Smithsonian Contributions to Paleobiology,,,,,,,53,,287,353,English,,"auth,class"
85481,ref,journal article,"A Late Permian flora with Dicroidium from the Dead Sea region, Jordan",2008,A.,Abu Hamad,H.,Kerp,"B. Vörding, K. Bandel",,,Review of Palaeobotany and Palynology,,,,,,,149,,85,130,English,10.1016/j.revpalbo.2007.10.006,"auth,class"
44552,ref,journal article,"Improntas foliares de una Lauraceae en la Formación Paraná (Mioceno Superior), en Villa Urquiza, Entre Ríos",1996,P. G.,Aceñolaza,F. G.,Aceñolaza,,,,Ameghiniana,,,,,,,33,2,155,159,Spanish,,"auth,class"
73232,ref,journal article,"Calcareous nannoplankton from the Wemmelian stratotype. In, Brönnimann, P. & Renz, H. H. (eds)",1969,M. V.,Achuthan,H.,Stradner,,,,"Proceedings of the First International Conference on Planktonic Microfossils, Geneva 1967",,,,,,,1,,1,13,English,,auth
80950,ref,journal article,"Leaf impressions of Terminalia (Combretaceae) and Daphnogene (Lauraceae) from the Middle Siwalik of the Chatara-Barahakshetra area, eastern Nepal",2018,P.,Adhikari,G.,Srivastava,"R. C. Mehrotra, D. Adhikari, K. Shrestha, D. Uhl, K. N. Paudayal",,,"Bulletin of the Department of Geology, Tribhuvan University",,,,,,,20-21,,21,28,English,10.3126/bdg.v20i0.20719,class
39165,ref,journal article,The new higher level classification of eukaryotes with emphasis on the taxonomy of protists,2005,S. M.,Adl,A. G. B.,Simpson,"M. A. Farmer, R. A. Andersen, O. R. Anderson, J. R. Barta, S. S. Bowser, G. Brugerolle, R. A. Fensome, S. Frederico, T. Y. James, S. Karpov, P. Kugrens, J. Krug, C. E. Lane, L. A. Lewis, J. Lodge, D. H. Lynn, D. G. Mann, R. M. McCourt, L. Mendoza",,,Journal of Eukaryotic Microbiology,,,,,,,52,5,399,451,English,,"auth,class"
73714,ref,journal article,Conspectus Criticus Diatomacearum. Part 4,1832,C.A.,Agardh,,,,,,Lundae. Litteris Berlingianis,,,,,,,,,48,66,English,,"auth,class"
73719,ref,journal article,Systema Algarum,1824,C.A.,Agardh,,,,,,"Adumbravit C.A. Agardh. Lundae Literis Berlingianis. Lundae, xxxvii",,,,,,,,,", 312 pp.",,English,,auth
73805,ref,journal article,Conspectus Criticus Diatomacearum. Part 1,1830,C.A.,Agardh,,,,,,Lundae. Litteris Berlingianis,,,,,,,,,pp. 1-16,,English,,auth
10708,ref,,"Prototaxopitys andrewsii, a new combination for Prototaxoxylon andrewsii Agashe & Chitnis",1977,S. N.,Agashe,,,,,,Geophytology,,,,,,,7,,278,279,,,"auth,class"
87164,ref,journal article,"Life through an Ediacaran glaciation: Shale- and diamictite-hosted organic-walled microfossil assemblages from the late Neoproterozoic of the Tanafjorden area, northern Norway",2024,H.,Agić,S.,Jensen,"G. Meinhold, A. E. S. Högström, J. O. R. Ebbestad, M. Høyberget, T. Palacios, W. L. Taylor ",,,"Palaeogeography, Palaeoclimatology, Palaeoecology",,,,,,,635,111956,,,English,10.1016/j.palaeo.2023.111956,"auth,class"
44219,ref,journal article,"Taxonomic assessment of coralline algal species (Rhodophyta; Corallinales and Sporolithales) described by Pfender, Lemoine, and Miranda from northern Spain type localities",2011,J.,Aguirre,J. C.,Braga,D. Bassi,,,Annalen des Naturhistorischen Museums in Wien,,,,,,,,113,267,289,English,,auth
77874,ref,journal article,"Reassessment of Lemoine’s newly discovered types of fossil corallines (Corallinales, Rhodophyta) preserved at the Muséum national d’histoire naturelle, Paris",2012,J.,Aguirre,J.C.,Braga,"B. Reviers, W.J. Woelkerling",,,"Cryptogamie, Algologie",,,,,,,33,3,289,326,English,,"auth,class"
70346,ref,journal article,Origins of Polyploidy in Coast Redwood (Sequoia sempervirens (D. DON) ENDL.) and Relationship of Coast Redwood to other Genera of Taxodiaceae,2002,M. R.,Ahuja,D. B.,Neale,,,,Silvae Genetica,,,,,,,51,02-Mar,93,100,English,,"auth,class"
87598,ref,journal article,"Devonian (Frasnian) radiolarians from the Gogo Formation, Canning Basin, Western Australia",1993,J. C.,Aitchison,,,,,,Palaeontographica Abteilung A,,,,,,,228,04-Jun,105,128,English,,"auth,class"
30609,ref,journal article,"Lower and Middle Devonian Radiolarian Biozonation of the Gamilaroi Terrane New England Orogen, Eastern Australia",1999,J. C.,Aitchison,A. M.,Davis,"J. M. C. Stratford, F. C. P. Spiller",,,Micropaleontology,,,,,,,45,2,138,162,English,,class
86804,ref,journal article,Inventory of Paleozoic radiolarian species (1880-2016),2017,J. C.,Aitchison,N.,Suzuki,L. O'Dogherty,,,Geodiversitas,,,,,,,39,3,533,637,English,10.5252/g2017n3a6,"auth,class"
74174,ref,journal article,A study of biostratigraphy of Sinjar Formation in selected sections from northern Iraq,2017,E. K.,Al-Dulaimi,S. I.,Al-Dulaimi,,,,Iraqi Journal of Science,,,,,,,58,2B,891,916,English,,class
33381,ref,journal article,"Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae",2007,L. B.,Albright,D. D.,Gillette,A. L. Titus,,,Journal of Vertebrate Paleontology,,,,,,,27,1,41,58,English,,auth
33387,ref,journal article,"Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae; replacement names for the preoccupied genus Palmula and the subfamily Palmulainae",2007,L. B.,Albright,D. D.,Gillette,A. L. Titus,,,Journal of Vertebrate Paleontology,,,,,,,27,4,1051,1051,English,,class
82867,ref,journal article,"Taxonomic names, in Organic-walled microfossils from earliest Cambrian or latest Proterozoic Tindir Group rocks, northwest Canada",1989,C. W.,Allison,,,,,,Precambrian Research,,,,,,,43,,253,294,English,,"auth,class"
72857,ref,journal article,"Organic-walled microfossils from earliest Cambrian or latest Proterozoic Tindir Group rocks, northwest Canada",1989,C. W.,Allison,S. M.,Awramik,,,,Precambrian Research,,,,,,,43,,253,294,English,10.1016/0301-9268(89)90060-0,"auth,class"
66877,ref,journal article,"Die Bivalvenfauna des Oberen Famenniums West-Europas. 2. Evolution, Palaogeographie, Paiaookologie, Systematik. 2. Palaeotaxodonta und Anomalodesmata",1996,M. R.,Amler,,,,,,Geologica et Palaeontologica,,,,,,,30,,49,117,English,,auth
85198,ref,journal article,Leroyi: A new Tethyan lagenid benthic foraminiferal genus,2020,H. S.,Anan,,,,,,Earth Sciences Pakistan,,,,,,,4,2,60,64,English,10.26480/esp.02.2020.60.64,"auth,class"
