"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
17879,"ref","journal article","Biostratigraphy and paleoecology of a diatomaceous clay unit in the Miocene Pungo River Formation of Beaufort County, North Carolina",1983,"W. H.","Abbott","J. J.","Ernissee","","",NA,"Smithsonian Contributions to Paleobiology",NA,NA,NA,NA,NA,NA,"53","","287","353","English","","auth,class"
85481,"ref","journal article","A Late Permian flora with Dicroidium from the Dead Sea region, Jordan",2008,"A.","Abu Hamad","H.","Kerp","B. Vörding, K. Bandel","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"149","","85","130","English","10.1016/j.revpalbo.2007.10.006","auth,class"
73232,"ref","journal article","Calcareous nannoplankton from the Wemmelian stratotype. In, Brönnimann, P. & Renz, H. H. (eds)",1969,"M. V.","Achuthan","H.","Stradner","","",NA,"Proceedings of the First International Conference on Planktonic Microfossils, Geneva 1967",NA,NA,NA,NA,NA,NA,"1","","1","13","English","","auth"
80950,"ref","journal article","Leaf impressions of Terminalia (Combretaceae) and Daphnogene (Lauraceae) from the Middle Siwalik of the Chatara-Barahakshetra area, eastern Nepal",2018,"P.","Adhikari","G.","Srivastava","R. C. Mehrotra, D. Adhikari, K. Shrestha, D. Uhl, K. N. Paudayal","",NA,"Bulletin of the Department of Geology, Tribhuvan University",NA,NA,NA,NA,NA,NA,"20-21","","21","28","English","10.3126/bdg.v20i0.20719","class"
73714,"ref","journal article","Conspectus Criticus Diatomacearum. Part 4",1832,"C.A.","Agardh","","","","",NA,"Lundae. Litteris Berlingianis",NA,NA,NA,NA,NA,NA,"","","48","66","English","","auth,class"
73719,"ref","journal article","Systema Algarum",1824,"C.A.","Agardh","","","","",NA,"Adumbravit C.A. Agardh. Lundae Literis Berlingianis. Lundae, xxxvii",NA,NA,NA,NA,NA,NA,"","",", 312 pp.","","English","","auth"
73805,"ref","journal article","Conspectus Criticus Diatomacearum. Part 1",1830,"C.A.","Agardh","","","","",NA,"Lundae. Litteris Berlingianis",NA,NA,NA,NA,NA,NA,"","","pp. 1-16","","English","","auth"
10708,"ref","","Prototaxopitys andrewsii, a new combination for Prototaxoxylon andrewsii Agashe & Chitnis",1977,"S. N.","Agashe","","","","",NA,"Geophytology",NA,NA,NA,NA,NA,NA,"7","","278","279","","","auth,class"
87164,"ref","journal article","Life through an Ediacaran glaciation: Shale- and diamictite-hosted organic-walled microfossil assemblages from the late Neoproterozoic of the Tanafjorden area, northern Norway",2024,"H.","Agić","S.","Jensen","G. Meinhold, A. E. S. Högström, J. O. R. Ebbestad, M. Høyberget, T. Palacios, W. L. Taylor ","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"635","111956","","","English","10.1016/j.palaeo.2023.111956","auth,class"
86804,"ref","journal article","Inventory of Paleozoic radiolarian species (1880-2016)",2017,"J. C.","Aitchison","N.","Suzuki","L. O'Dogherty","",NA,"Geodiversitas",NA,NA,NA,NA,NA,NA,"39","3","533","637","English","10.5252/g2017n3a6","auth,class"
82867,"ref","journal article","Taxonomic names, in Organic-walled microfossils from earliest Cambrian or latest Proterozoic Tindir Group rocks, northwest Canada",1989,"C. W.","Allison","","","","",NA,"Precambrian Research",NA,NA,NA,NA,NA,NA,"43","","253","294","English","","auth,class"
72857,"ref","journal article","Organic-walled microfossils from earliest Cambrian or latest Proterozoic Tindir Group rocks, northwest Canada",1989,"C. W.","Allison","S. M.","Awramik","","",NA,"Precambrian Research",NA,NA,NA,NA,NA,NA,"43","","253","294","English","10.1016/0301-9268(89)90060-0","auth,class"
85198,"ref","journal article","Leroyi: A new Tethyan lagenid benthic foraminiferal genus",2020,"H. S.","Anan","","","","",NA,"Earth Sciences Pakistan",NA,NA,NA,NA,NA,NA,"4","2","60","64","English","10.26480/esp.02.2020.60.64","auth,class"
77381,"ref","journal article","Doushantuo-type Microfossils from Latest Ediacaran Phosphorites of Northern Mongolia",2017,"R. P.","Anderson","F. A.","Macdonald","D. S. Jones, S. McMahon, D. E. G. Briggs","",NA,"Geology",NA,NA,NA,NA,NA,NA,"45","12","1079","1082","English","https://doi.org/10.1130/G39576.1","auth,class"
61084,"ref","journal article","Miocene marine diatoms from the Choptank Formation, Calvert County, Maryland",1976,"G.","Andrews","","","","",NA,"Professional Paper",NA,NA,NA,NA,NA,NA,"","","","","English","","auth,class"
71641,"ref","serial monograph","Index of Generic Names of Fossil Plants, 1820-1965",1970,"H. N.","Andrews","","","","",NA,"Geological Survey Bulletin",NA,NA,NA,NA,NA,NA,"","","1","354","English","","auth,class"
86652,"ref","journal article","Araucaria lefipanensis (Araucariaceae), a new species with dimorphic leaves from the Late Cretaceous of Patagonia, Argentina",2018,"A.","Andruchow-Colombo","I. H.","Escapa","N. R. Cuneo, M. A. Gandolfo","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"105","6","1","21","English","10.1002/ajb2.1113","auth"
86654,"ref","journal article","New genus of Cupressaceae from the Upper Cretaceous of Patagonia (Argentina) fills a gap in the evolution of the ovuliferous complex in the family",2022,"A.","Andruchow-Colombo","M. A.","Gandolfo","I. H. Escapa, N. R. Cuneo","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"","","1","23","English","10.1111/jse.12842","auth,class"
88341,"ref","journal article","Ginkgoites villardeseoanii sp. nov., a ginkgophyte with insect damage from the Upper Cretaceous (Maastrichtian) Lefipán Formation (Chubut, Patagonia, Argentina)",2022,"A.","Andruchow-Colombo","M. A.","Gandolfo","N. R. Cúneo, I. H. Escapa","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"133","105124","1","13","English","https://doi.org/10.1016/j.cretres.2021.105124","auth,class"
55420,"ref","Ph.D. thesis","Paleoenvironmental reconstruction based on palynological and palynofacies analyses of the Aptian-Albian succession in the Sergipe Basin, northeastern Brazil",2001,"M.","Araujo Carvalho","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","English","","auth,class"
54553,"ref","journal article","Esporas de la Formación Río Turbio (Eoceno), Provincia de Santa Cruz",1972,"S.","Archangelsky","","","","",NA,"Revista del Museo de la Plata (nueva serie), Sección Paleontología",NA,NA,NA,NA,NA,NA,"6","39","65","100","Spanish","","auth,class"
54876,"ref","journal article","Palinología del Paleoceno de Chubut. I. Descripciones Sistemáticas",1973,"S.","Archangelsky","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"10","4","339","399","Spanish","","auth,class"
56356,"ref","journal article","Balmeiopsis, nuevo nombre genérico para el palinomorfo Inaperturopollenites limbatus Balme, 1957",1977,"S.","Archangelsky","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"XIV","01-Apr","122","126","Spanish","","auth,class"
47968,"ref","journal article","Aptian angiosperm pollen from the Ticó Flora Patagonia, Argentina",2013,"S.","Archangelsky","A.","Archangelsky","","",NA,"",NA,NA,NA,NA,NA,NA,"174","3","559","571","English","10.1086/668693","class"
48026,"ref","journal article","Estudio Palinológico de la Formación Baqueró (Cretácico), Provincia de Santa Cruz I",1965,"S.","Archangelsky","J. C.","Gamerro","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"4","5","159","170","Spanish","","auth,class"
48082,"ref","journal article","Estudio palinológico de la Formación Baqueró (Cretácico), provincia de Santa Cruz. II",1966,"S.","Archangelsky","J. C.","Gamerro","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"4","6","201","209","Spanish","","auth,class"
48092,"ref","journal article","Estudio palinológico de la Formación Baqueró (Cretácico), Provincia de Santa Cruz. III",1966,"S.","Archangelsky","J. C.","Gamerro","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"4","7","229","236","English","","auth,class"
48094,"ref","journal article","Estudio palinológico de la Formación Baqueró (Cretácico), Provincia de Santa Cruz. IV",1966,"S.","Archangelsky","J. C.","Gamerro","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"4","10","363","372","Spanish","","auth"
55102,"ref","journal article","Polen de Gimnospermas (Coniferas) del Cretácico Superior y Paleoceno de Patagonia",1974,"S.","Archangelsky","E. J.","Romero","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"11","3","217","236","Spanish","","class"
43634,"ref","journal article","Nuevas descripciones palinológicas de las formaciones Salamanca y Bororo, Paleoceno de Chubut (República Argentina)",1986,"S.","Archangelsky","M. C.","Zamaloa","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"23","01-Feb","35","46","Spanish","","auth,class"
69007,"ref","journal article","A new record of late Ediacaran acritarchs from La providencia group (Tandilia System, Argentina) and its biostratigraphical significance",2019,"M. J.","Arrouy","C.","Gaucher","D. G. Poiré, S. Xiao, L. E. Gómez Peral, L. V. Warren, N. Bykova, F. Quaglio","",NA,"Journal of South American Earth Sciences",NA,NA,NA,NA,NA,NA,"","","","","English","10.1016/j.jsames.2019.05.015","auth,class"
81768,"ref","journal article","A new approach to the paleoecological relationship between rudists\r\nand benthic foraminifers in Maastrichtian of Tethys basin in the Central\r\nZagros, Iran",2022,"B.","Asgari‑Pirbalouti","M.","Dehghanian","","",NA,"Carbonates and Evaporites",NA,NA,NA,NA,NA,NA,"37","32","","","English","10.1007/s13146-022-00774-5","class"
10932,"ref","journal article","Revision of some dipterocarpaceous woods previously described from Tertiary of South India.",1971,"N.","Awasthi","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"18","","226","233","","","auth,class"
10939,"ref","journal article","Revision of Hopeoxylon indicum and Shoreoxylon speciosum Navale from the Cuddalore Series near Pondicherry",1977,"N.","Awasthi","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"24","","102","107","English","","auth,class"
10940,"ref","journal article","Reinvestigation of Sapindoxylon indicum Navale from the Cuddalore Series, near Pondicherry",1981,"N.","Awasthi","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"27","","161","165","English","","auth,class"
10945,"ref","journal article","Two new fossil woods of Sapindaceae from Tertiary of India",1982,"N.","Awasthi","J. S.","Guleria","R. N. Lakhanpal","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"30","","12","21","English","","auth,class"
65602,"ref","journal article","A Miocene flora from the western border of the Mohave desert",1939,"D. I.","Axelrod","","","","",NA,"Carnegie Institution of Washington Publications",NA,NA,NA,NA,NA,NA,"516","","1","129","English","","auth"
74019,"ref","journal article","Distichoplax Pia from Baratang Island, Andaman, India",1988,"R. M.","Badve","P.","Kundal","","",NA,"Biovigyanam",NA,NA,NA,NA,NA,NA,"14","2","95","102","English","","class"
74320,"ref","journal article","Marine Cretaceous algae from the Baratang Formation, Andaman Islands, India",1986,"R. M.","Badve","P.","Kundal","","",NA,"Bull. Geol. Min. Met. Soc. India",NA,NA,NA,NA,NA,NA,"54","","149","158","English","","class"
81273,"ref","journal article","Meyeripollis, a new genus from the Tertiary sediments of Assam",1970,"S.K.","Baksi","","","","",NA,"Journal of the Geological Society of India",NA,NA,NA,NA,NA,NA,"11","1","","","English","","auth,class"
67798,"ref","journal article","Microfósiles calcáreos no marinos y semillas de la Formación Piedra Clavada (Albiano) en su área tipo, provincia de Santa Cruz, Argentina",2011,"S.","Ballent","A. P.","Carignano","A. Iglesias, D. G. Poiré","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"48","4","541","555","Spanish","10.5710/AMGH.v48i4(419)","class"
10982,"ref","","A petrified dicotyledonous wood from the Deccan Intertrappean beds of Mandla District, Madhya Pradesh.",1973,"M. B.","Bande","","","","",NA,"Botanique",NA,NA,NA,NA,NA,NA,"4","","41","47","","","auth"
10983,"ref","","Two fossil woods from the Deccan Intertrappean beds of Mandla District, Madhya Pradesh.",1974,"M. B.","Bande","","","","",NA,"Geophytology",NA,NA,NA,NA,NA,NA,"4","","189","195","","","auth"
10984,"ref","journal article","Aeschynomenoxylon malwaensis sp. nov. from the Deccan Intertrappean beds of India",1981,"M. B.","Bande","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"27","","221","225","English","","auth,class"
10985,"ref","journal article","Fossil wood of Gmelina Linn. (Verbenaceae) from the Deccan Intertrappean beds of Nawargaon with comments on the nomenclature of Tertiary woods",1987,"M. B.","Bande","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"35","","165","170","English","","auth"
10987,"ref","","Some more fossil woods from the Deccan Intertrappean beds of Mandla District, Madhya Pradesh, India.",1980,"M. B.","Bande","S.K.","Khatri","","",NA,"Palaeontographica",NA,NA,NA,NA,NA,NA,"173B","","147","165","","","auth,class"
10988,"ref","journal article","Occurrence of Australian elements from the Deccan Intertrappean flora of India",1986,"M. B.","Bande","R. C.","Mehrotra","U. Prakash","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"35","","1","12","English","","auth,class"
10990,"ref","journal article","Four new fossil dicotyledonous woods from the Deccan Intertrappean beds near Shahpura,Mandla District, Madhya Pradesh, India.",1980,"M. B.","Bande","U.","Prakash","","",NA,"Geophytology",NA,NA,NA,NA,NA,NA,"10","","268","271","","","auth,class"
10992,"ref","journal article","Occurrence of Evodia, Amoora and Sonneratia from the Palaeogene of India",1984,"M. B.","Bande","U.","Prakash","","",NA,"Proceedings of the Symposium on Evolutionary Botany and Biostratigraphy, Calcutta, 1979 (A.K. Ghosh Commemoration Volume), Current Trends in Life Sciences ",NA,NA,NA,NA,NA,NA,"10","","97","114","English","","auth,class"
69762,"ref","journal article","A Fossil Palm Fruit Hyphaeneocarpon Indicum Gen. Et Sp. Nov. From The Deccan Intertrappean Bed, India\r\n",1982,"M. B.","Bande","U.","Prakash","K. Ambwani","",NA,"The Paleobotanist\r\n",NA,NA,NA,NA,NA,NA,"30","3","303","309","English","","auth,class"
76565,"ref","journal article","Origin and Development of Globorotalia (Turborotalia) pachyderma (Ehrenberg)",1972,"O.L.","Bandy","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"18","3","294","318","English","","auth"
75436,"ref","journal article","The taxonomy, morphology and affinities of the genera included in the subfamily Hastigerininae",1960,"F. T.","Banner","W. H.","Blow","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"6","1","19","31","English","","auth"
55230,"ref","journal article","Lauraceae from rainforest surrounding an early Miocene maar lake, Otago, southern New Zealand",2012,"J. M.","Bannister","J. G.","Conran","D. E. Lee","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"","178","13","34","English","0.1016/j.revpalbo.2012.03.015","auth,class"
76133,"ref","journal article","Family Nomenclatura",1895,"J. H.","Barnhart","","","","",NA,"Bulletin of the Torrey Botanical Club",NA,NA,NA,NA,NA,NA,"22","","1","24","English","","auth"
47987,"ref","journal article","Cretaceous/Paleogene Floral Turnover in Patagonia: Drop in Diversity, Low Extinction, and a Classopollis Spike",2012,"V. D.","Barreda","N. R.","Cúneo","P. Wilf, E. D. Currano, R. A. Scasso, H. Brinkhuis","",NA,"PLoS ONE",NA,NA,NA,NA,NA,NA,"7","12","e52455","","English","10.1371/journal.pone.0052455","auth,class"
77723,"ref","journal article","A new species of Brachyphyllum from the Crato Formation (Lower Cretaceous), Araripe Basin, Brazil",2020,"M. E. P.","Batista","L.","Kunzmann","A. A. Sá, A. Á. F. Saraiva, M. I. B. Loiola","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"57","6","519","533","English","ttp://dx.doi.org/10.5710/AMGH.23.06.2020.3333","auth,class"
6947,"ref","serial monograph","Lower Cretaceous Floras of Western Canada",1956,"W. A.","Bell","","","","",NA,"Geological Survey of Canada Memoir 285",NA,NA,NA,NA,NA,NA,"","2528","1","153","","","class"
7112,"ref","journal article","Early Carboniferous strata of St. Georges Bay area, Newfoundland",1948,"W. A.","Bell","","","","",NA,"Canada Geological Survey Bulletin",NA,NA,NA,NA,NA,NA,"10","","1","45","","","auth"
56578,"ref","journal article","Sporae dispersae der Oberen Kreide von Gabun, Äquatoriales Afrika",1965,"C. Y.","Belsky","E.","Boltenhagen","R. Potonie","",NA,"Paläontologische Zeitschrift",NA,NA,NA,NA,NA,NA,"39","01-Feb","72","83","German","","auth,class"
10561,"ref","journal article","Several new forms of Glossopteris fructifications from the Beaufort Daptocephalus-Zone (Upper Permian) of Natal, South Africa",1976,"A. K.","Benecke","","","","",NA,"Palaeontologia Africana",NA,NA,NA,NA,NA,NA,"19","","97","125","","","auth"
76222,"ref","journal article","Phytoplanktonten aus dem Mittel- und Oberoligozän von Tönisberg (Niederrheingebiet)",1972,"P.N.","Benedek","","","","",NA,"Palaeontographica ",NA,NA,NA,NA,NA,NA,"137","","1","71","English","","auth,class"
29190,"ref","book/book chapter","Proterozoic and earliest Cambrian skeletal metazoans",1992,"S.","Bengtson","","","","J.W. Schopf, C. Klein",NA,"The Proterozoic Biosphere: A Multidisciplinary Study",NA,NA,NA,NA,NA,NA,"","","1017","1034","English","","auth"
87649,"ref","journal article","Siliceous microfossils from the Upper Cambrian of Queensland",1986,"S.","Bengtson","","","","",NA,"Alcheringa",NA,NA,NA,NA,NA,NA,"10","3","195","216","English","10.1080/03115518608619155","auth"
42369,"ref","book/book chapter","Stratigrafiya i fuzulinidy verkhnego Paleozoya yuzhnoj Fergany",1972,"F. R.","Bensh","","","","",NA,"Akademiya Nauk Uzbekskoy SSR",NA,NA,NA,NA,NA,NA,"","","1","147","Russian","","auth,class"
76150,"ref","book","Genera plantarum :ad exemplaria imprimis in Herberiis Kewensibus servata definita",1873,"G.","Bentham","J. D.","Hooker","","",NA,"",NA,NA,NA,NA,NA,NA,"2","1","","","other","https://doi.org/10.5962/bhl.title.747","class"
80450,"ref","journal article","Systematic descriptions, in First megafossil evidence of Cyatheaceous tree fern from the Indian Cenozoic",2014,"S.","Bera","S.","Gupta","R. Mukhopadhyay","",NA,"Journal of Earth System Science",NA,NA,NA,NA,NA,NA,"123","","1433","1438","English","10.1007/s12040-014-0460-x","auth,class"
76044,"ref","book","O Přirozenosti Rostlin",1820,"F. v.","Berchtold","J. S.","Presl","","",NA,"",NA,NA,NA,NA,NA,NA,"1","","","","other","","auth,class"
19002,"ref","book/book chapter","Photo-atlas of living Dasycladales",2006,"S.","Berger","","","","",NA,"Carnets de Geologie, e-book",NA,NA,NA,NA,NA,NA,"2","","1","348","English","","class"
74823,"ref","book","Estudio sistematico de los Foraminiferos rotaliformes",1952,"P. J.","Bermúdez","","","","",NA,"Venezuela Minist. Minas and Hidrocarb. Boletin de geologia",NA,NA,NA,NA,NA,NA,"2","4","1","230","Spanish","","auth,class"
8578,"ref","journal article","Miocene fossil plants from Northern Peru",1919,"E. W.","Berry","","","","",NA,"Proceedings of the United States National Museum",NA,NA,NA,NA,NA,NA,"55","2270","279","294","","","auth"
8630,"ref","journal article","A Miocene flora from Patagonia",1925,"E. W.","Berry","","","","",NA,"The Johns Hopkins University Studies in Geology",NA,NA,NA,NA,NA,NA,"6","","183","251","","","auth"
8673,"ref","serial monograph","Tertiary flora from the Rio Pichileufu, Argentina",1938,"E. W.","Berry","","","","",NA,"Geological Society of America Special Paper",NA,NA,NA,NA,NA,NA,"12","","1","149","English","","auth"
8753,"ref","journal article","The flora of the Concepcion-Arauco coal measures of Chile",1922,"E. W.","Berry","","","","",NA,"The Johns Hopkins University Studies in Geology",NA,NA,NA,NA,NA,NA,"4","","73","143","","","auth"
34804,"ref","journal article","The flora of the Cheyenne Sandstone of Kansas",1922,"E. W.","Berry","","","","",NA,"United States Geological Survey Professional Paper",NA,NA,NA,NA,NA,NA,"129","1","199","231","English","","auth,class"
35468,"ref","journal article","A revision of the fossil ferns from the Potomac Group which have been referred to the genera Cladophlebis and Thyrsopteris",1911,"E. W.","Berry","","","","",NA,"Proceedings of the United States National Museum",NA,NA,NA,NA,NA,NA,"41","","307","332","English","","auth"
45812,"ref","journal article","Fossil plants from Chubut territory collected by the Scarritt Patagonian Expedition",1932,"E. W.","Berry","","","","",NA,"American Museum Novitates",NA,NA,NA,NA,NA,NA,"","536","1","10","English","","auth"
54868,"ref","journal article","A Paleocene flora from Patagonia",1937,"E. W.","Berry","","","","E.B. Mathews",NA,"Contributions to Paleobotany of South America, Studies in Geology",NA,NA,NA,NA,NA,NA,"","12","33","50","English","","class"
72443,"ref","journal article","The Upper Cretaceous and Eocene floras of South Carolina and Georgia",1914,"E. W.","Berry","","","","",NA,"US Geological Survey Professional Paper",NA,NA,NA,NA,NA,NA,"84","","1","200","English","","auth"
82970,"ref","book chapter","Tertiary floras from British Columbia",1926,"E. W.","Berry","","","","",NA," Geological series; Contributions to Canadian Paleontology",NA,NA,NA,NA,NA,NA,"","","91","116","English","10.4095/293661","auth,class"
81238,"ref","journal article","Spores from the Pennington Coal, Rhea County, Tennessee",1937,"W.","Berry","","","","",NA,"American Midland Naturalist",NA,NA,NA,NA,NA,NA,"","","150","160","English","","auth,class"
86150,"ref","journal article","Micropaleontología del Paleoceno de General Roca (provincia de Río Negro)",1964,"A.","Bertels","","","","",NA,"Revista del Museo de La Plata",NA,NA,NA,NA,NA,NA,"IV","23","125","184","Spanish","","auth,class"
86164,"ref","journal article","Los foraminíferos planctónicos de la Cuenca Cretácico-Terciaria en Patagonia Septentrional (Argentina), con consideraciones sobre la estratigrafía de Fortín General Roca (provincia de Río Negro)",1970,"A.","Bertels","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"7","1","1","56","Spanish","","class"
45856,"ref","journal article","A synopsis of plant phyla",1907,"C. E.","Bessey","","","","",NA,"The University Studies of the University of Nebraska",NA,NA,NA,NA,NA,NA,"7","4","275","373","English","","class"
73119,"ref","journal article","Cretaceous and Tertiary coccoliths from Atlantic seamounts",1964,"M.","Black","","","","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"7","","306","316","English","","auth"
55216,"ref","book chapter","The Oligo-Miocene coal floras of southeastern Australia",1994,"D. T.","Blackburn","I. R. K.","Sluiter","","R. S. Hill",NA,"History of the Australian Vegetation: Cretaceous to Recent",NA,NA,NA,NA,NA,NA,"","","328","367","English","","auth,class"
72215,"ref","serial monograph","Index of Generic Names of Fossil Plants, 1966-1973",1975,"A. M.","Blazer","","","","",NA,"Geological Survey Bulletin",NA,NA,NA,NA,NA,NA,"","","1","54","English","","auth,class"
32395,"ref","journal article","Upper Triassic Capnuchosphaeridae and Capnodocinae (Radiolaria) from east-central Oregon",1983,"C. D.","Blome","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"29","1","11","49","English","","class"
76555,"ref","journal article","Clavatorella, a New Genus of the Globorotaliidae",1965,"W.H.","Blow","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"11","3","365","368","English","","auth,class"
76080,"ref","book","Bijdragen tot de flora van Nederlandsch Indië",1825,"C. L.","Blume","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","1","1169","other","https://doi.org/10.5962/bhl.title.395","auth,class"
76082,"ref","book","Museum botanicum Lugduno-Batavum, sive, Stirpium exoticarum novarum vel minus cognitarum ex vivis aut siccis brevis expositio et descriptio",1850,"C. L.","Blume","","","","",NA,"",NA,NA,NA,NA,NA,NA,"1","","","","other","https://doi.org/10.5962/bhl.title.274","auth"
15344,"ref","abstract","Reefal buildups by dasycladacean algae in the Tithonian of Languedoc (France)",1995,"Y.","Bodeur","","","","",NA,"Coral Reefs in the Past Present and Future. Publ. Serv. Geol. Luxembourg",NA,NA,NA,NA,NA,NA,"29","","67","72","English","","auth"
57032,"ref","journal article","Spores et pollen du Cretace Superieur du Gabon",1967,"E.","Boltenhagen","","","","",NA,"Pollen et Spores",NA,NA,NA,NA,NA,NA,"9","2","335","355","French","","auth"
80803,"ref","journal article","Systematic descriptions, in A new species of Tsuga (Pinaceae) based on lignified wood from the late Miocene of Central Yunnan, China, and its paleoenvironmental implications",2015,"O. V.","Bondarenko","H. B.","Wang","Z. K. Zhou","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"89","5","1429","1439","English","10.1111/1755-6724.12555","auth,class"
11290,"ref","journal article","Parapalmocaulon surangei gen. et sp. nov. from the Deccan Intertrappean beds at Umaria, District Mandla, Madhya Pradesh.",1987,"S. D.","Bonde","","","","",NA,"Biovigyanum",NA,NA,NA,NA,NA,NA,"13","","74","80","","","auth,class"
73718,"ref","journal article"," Dictionnaire Classique d'Histoire Naturelle",1822,"J.B.M.","Bory de Saint-Vincent","","","","",NA,"Paris. Rey & Gravier, libraires-éditeurs; Baudouin Frères, libraires-éditeurs",NA,NA,NA,NA,NA,NA,"Jan-17","","","","English","","auth,class"
82753,"ref","journal article","Miocene Ethiopian amber: A new source of fossil cryptogams",2022,"V.","Bouju","K.","Feldberg","U. Kaasalainen, A. Schäfer-Verwimp, L. Hedenäs, W. R. Buck, B. Wang, V. Perrichot, A. R. Schmidt","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"60","4","932","954","English","https://doi.org/10.1111/jse.12796","auth,class"
72299,"ref","journal article","",1840,"J. S.","Bowerbank","","","","",NA,"A History of the Fossil Fruits & Seeds of the London Clay",NA,NA,NA,NA,NA,NA,"","","1","144","English","","auth"
13960,"ref","book/book chapter","Calcareous Nannofossil Biostratigraphy",1998,"P. R.","Bown","","","","",NA,"Calcareous Nannofossil Biostratigraphy, Kluwer Academic",NA,NA,NA,NA,NA,NA,"","","1","315","English","","auth,class"
73173,"ref","journal article","Notes on some of the reticularian Rhizopoda of the ""Challenger"" Expedition; Part I. On new or little known arenaceous types",1879,"H. B.","Brady","","","","",NA,"Quarterly Journal of Microscopical Sciences",NA,NA,NA,NA,NA,NA,"19","","20","67","English"," https://www.biodiversitylibrary.org/page/14704208","auth,class"
73046,"ref","journal article","Middle Tertiary calcareous nannoplankton of the Cipero section, Trinidad, W.I",1967,"M. N.","Bramlette","J. A.","Wilcoxon","","",NA,"Tulane Studies in Geology and Paleontology",NA,NA,NA,NA,NA,NA,"5","","93","131","English","","auth,class"
6907,"ref","","Beitrag zur Flora der Grube Guimarota (Ober-Jura; Mittel-Portugal)",1978,"C.","Brauckmann","","","","",NA,"Geologica et Palaeontologica",NA,NA,NA,NA,NA,NA,"12","","213","222","German","","auth"
88436,"ref","journal article","First South American Record of Winteroxylon, Eocene of Laguna del Hunco (Chubut, Patagonia, Argentina): New Link to Australasia and Malesia",2021,"M.","Brea","A.","Iglesias","P. Wilf, E. Moya, M. A. Gandolfo","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"182","3","185","197","English","10.1086/712427","auth,class"
55171,"ref","book/book chapter","Aspectos Paleoecológicos y Paleoambientales del Bosque Petrificado Ameghino (Daniano), Chubut, Argentina",2007,"M.","Brea","S. D.","Matheos","M. S. Raigemborn, A. Iglesias, A. F. Zucol, M. Prámparo","E. Díaz-Martínez & I. Rábano",NA,"4th European Meeting on the Palaeontology and Stratigraphy of Latin America. Cuadernos del Museo Geominero",NA,NA,NA,NA,NA,NA,"8","","45","50","Spanish","ISBN 978-84-7840-707-1","auth"
55172,"ref","journal article","Paleoecology and paleoenvironments of Podocarp trees in the Ameghino Petrified forest (Golfo San Jorge Basin, Patagonia, Argentina): Constraints for Early Paleogene paleoclimate",2011,"M.","Brea","S. D.","Matheos","M. S. Raigemborn, A. Iglesias, A. F. Zucol, M. Prámparo","",NA,"Geologica Acta",NA,NA,NA,NA,NA,NA,"9","1","13","28","English","10.1344/105.000001647","auth"
83879,"ref","journal article","The spores and pollen of the Potomac Group of Maryland",1963,"G. J.","Brenner","","","","",NA,"State of Maryland Board of Natural Resources, Department of Geology, Mines and Water Resources Bulletin",NA,NA,NA,NA,NA,NA,"27","","1","215","English","","auth,class"
