reference_no,publication_type,reftitle,pubyr,author1last,pubtitle,language,doi,aff1,aff2,aff3,aff4,aff5,aff6,aff7,aff8,aff9
34839,journal article,"Cyathea cranhamii sp. nov. (Cyatheaceae), anatomically preserved tree fern sori from the Lower Cretaceous of Vancouver Island, British Columbia",2003,Smith,American Journal of Botany,English,,Canada,USA,,,,,,,
47464,journal article,"Nongeniculate Coralline Algae from Lower Pliocene to Late Pleistocene of Dwarka - Okha Area, Jamnagar, Gujarat",2003,Kundal,Bulletin of the Oil and Natural Gas Corporation Limited,English,,India,,,,,,,,
30757,journal article,Lower Aptian agglutinated foraminifera from the Southern Dobrogea and SE part of the Moesian Platform,2004,Neagu,Acta Palaeontologica Romaniae,English,,Romania,,,,,,,,
44594,journal article,"Megaflora (hojas y frutos) de la Formación San José (Mioceno Medio) en río Seco, departamento Santa María, provincia de Catamarca, Argentina",2004,Anzótegui,Ameghiniana,Spanish,,Argentina,,,,,,,,
50154,journal article,"A number of additional and revised taxa from the Ladinian flora of the Dolomites, Northern Italy",2004,Kustatscher,Geo.Alp,English,,Italy,The Netherlands,,,,,,,
32488,journal article,"Late Permian radiolarians and sponge spicules from the Tongtianyan section, Liuzhou, Gungxi, China",2004,Kuwahara,"Journal of Geosciences, Osaka City University",English,,,,,,,,,,
65025,journal article,"An unmineralized alga from the Lower Cambrian of California, USA",2004,Waggoner,Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen,English,10.1127/njgpa/231/2004/67,USA,,,,,,,,
43995,journal article,"Coralline Algae from the Ninniyur Formation (Thanetian) of the Cauvery Basin, South India",2004,Kishore,Our Nature,English,10.3126/on.v2i1.316,India,,,,,,,,
42469,journal article,Permian Fusulinids (Foraminifera) of the Subsurface of Israel: Taxonomy and Biostratigraphy,2004,Orlov-Labkovsky,Revista Española de Micropaleontología,English,,Israel,,,,,,,,
81475,journal article,Late Triassic charophytes around the bone-bearing bed at Krasiejów (SW Poland) – palaeoecological and environmental remarks,2005,Zatoń,Acta Geologica Polonica,English,,Poland,,,,,,,,
59282,journal article,"Middle Eocene flora of Huadian, Jilin Province, Northeastern China",2005,Manchester,Acta Palaeobotanica,English,,USA,China,,,,,,,
27506,book/book chapter,"Fossil plants from the Union Chapel Mine, Alabama",2005,Dilcher,Alabama Paleontological Society Monograph,English,,USA,,,,,,,,
48165,journal article,"Palinología de la Formación Kachaike, Cretácico Inferior de la Cuenca Austral, provincia de Santa Cruz. II. Esporas",2005,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
23357,journal article,"A fossilized aroid infructescence, Albertarum pueri geno. nov. et sp. nov., of Late Cretaceous (late Campanian) age from the Horseshoe Canyon Formation of southern Alberta, Canada",2005,Bogner,Canadian Journal of Earth Sciences,English,,Germany,Canada,,,,,,,
81981,journal article,"Paleoecology of the Permian (Wolfcampian) Phylloid Alga Calcipatera from an In Situ Occurrence in Kansas, U.S.A.",2005,Sawin,Current Research in Earth Sciences,English,10.17161/cres.v0i251.11835,USA,,,,,,,,
27116,journal article,"Record of rhodoliths from Aramda Reef Member (Late Pleistocene to Holocene) of Chaya Formation, Dwarka-Okha area, Gujarat and their paleoenvironmental significance",2005,Kundal,Current Science,English,,India,,,,,,,,
77887,journal article,"Calcareous algae from the limestone unit of Hut Bay Formation (Late Middle Miocene) of Little Andaman Island, India",2005,Saxena,Glimpses of Indian Phycology,English,,India,,,,,,,,
86054,journal article,"NIEUWE GEOLOGISCHE, PALYNOLOGISCHE EN PALEOBOTANISCHE GEGEVENS (MUSCHELKALK, RHAETIEN-LIAS EN OLIGOCEEN) uit de steengroeven van Winterswijk",2005,Herngreen,Grondboor & Hamer,other,,The Netherlands,,,,,,,,
13990,book/book chapter,"Upper Cretaceous calcareous nannofossil biostratigraphy, OPD 198 (Skatsky Rise, Northwest Pacific).",2005,Lees,"in T. J. Bralower, I. Premoli Silva and M. J. Malone, eds., Proceedings of the Ocean Drilling Program, Scientific Results, 198 [Online].",English,,,,,,,,,,
32418,journal article,"Permian and Triassic radiolarians from the western Guangxi area, China",2005,Yao,"Journal of Geosciences, Osaka City University",English,,,,,,,,,,
24720,journal article,Benthic foraminifers and palaeoenvironment in the Lower and Middle Jurassic of the Western Basque-Cantabrian Basin (Northern Spain),2005,Gräfe,Journal of Iberian Geology,English,,,,,,,,,,
27428,journal article,"Extinction, survival, and recovery of lagenide foraminifers in the Permian-Triassic boundary interval, central Taurides, Turkey",2005,Groves,Paleontological Society Memoir,English,,Japan,,,,,,,,
25689,journal article,"Triassic hamimedaceans: new genera and species from the Alps, Sicily and southern Apennines",2005,Senowbari-Daryan,Revista Espanola de Micropaleontologia,English,,Italy,Germany,,,,,,,
48091,journal article,"Estudios palinológicos del Grupo Baqueró (Cretácico inferior), provincia de Santa Cruz, Argentina. IX polen bisacado de Podocarpaceae",2005,Archangelsky,Revista Española de Paleontología,Spanish,,Argentina,,,,,,,,
43936,journal article,"Leños fósiles de Boraginaceae de la Formación Peñas Coloradas (Paleoceno superior), Puerto Visser, Chubut, Argentina",2006,Brea,Ameghiniana,Spanish,,Argentina,,,,,,,,
49481,journal article,"Palynological and paleoenvironmental significance of the Tunal Formation (Danian) at its type locality, El Chorro creek (Salta, Argentina)",2006,Volkheimer,Ameghiniana,English,,Argentina,,,,,,,,
67517,book chapter,"Taxonomy, biostratigraphy, and phylogeny of Eocene Turborotalia",2006,Pearson,Atlas of Eocene planktonic foraminifera. Cushman Foundation Special Publication,English,,UK,Croatia,Italy,,,,,,
19002,book/book chapter,Photo-atlas of living Dasycladales,2006,Berger,"Carnets de Geologie, e-book",English,,Germany,,,,,,,,
59278,journal article,Tetracentron fruits from the Miocene of Western North America,2006,Manchester,International Journal of Plant Sciences,English,,USA,,,,,,,,
77546,journal article,"Taxonomy of order Latentifistularia (Radiolaria) from the latest Permian in southern Guangxi, China",2006,Feng,Journal of Paleontology,English,10.1666/0022-3360(2006)80[826:toolrf]2.0.co;2,China,,,,,,,,
34841,journal article,Solenostelopteris skogiae sp. nov. from the Lower Cretaceous of Vancouver Island [Canada],2006,Little,Journal of Plant Research,English,,Canada,USA,,,,,,,
42028,journal article,"Early Late Permian (Wuchiapingian) foraminifers in the Tatsuno area, Hyogo - Late Paleozoic and Early mesozoic foraminifers of Hyogo, Japan, part 4",2006,Kobayashi,Nature and Human Activities,English,,Japan,,,,,,,,
42035,journal article,"Latest Permian (Changhsingian) foraminifers in the Mikata area, Hyogo - Late Paleozoic and early Mesozoic foraminifers of Hyogo, Japan, Part 3",2006,Kobayashi,Nature and Human Activities,English,,Japan,,,,,,,,
42036,journal article,"Late Middle Permian (Capitanian) foraminifers in the Miharaiyama area, Hyogo - Late Paleozoic and early Mesozoic foraminifers of Hyogo, Japan, Part 2",2006,Kobayashi,Nature and Human Activities,English,,Japan,,,,,,,,
42149,serial monograph,"Pennsylvanian-Permian Fusulinaceans of the Big Hatchet Mountains, New Mexico",2006,Wilde,New Mexico Museum of Natural History and Science Bulletin,English,,USA,,,,,,,,
41962,journal article,"Middle Permian foraminifers of the Izuru and Nabeyama Formations in the Kuzu area, Tochigi Prefecture, Japan Part 2. Schubertellid and ozawainellid fusulinoideans, and non-fusulinoidean foraminifers",2006,Kobayashi,Paleontological Research,English,,Japan,,,,,,,,
42139,journal article,"Middle Permian foraminifer of Kaize, southern part of Saku Basin, Nagano prefecture, central Japan",2006,Kobayashi,Paleontological Research,English,,Japan,,,,,,,,
3614,journal article,"Middle Eocene terrestrial palynomorphs from the Dolime minerals and Gulf Hammock Quarries, Florida, U.S.A.",2006,Jarzen,Palynology,English,10.2113/gspalynol.30.1.89,USA,,,,,,,,
59184,journal article,"Palynostratigraphy of the Dubrajpur Formation (Early Triassic to Early Cretaceous) of th Rajmahal Basin, India",2006,Tripathi,Palynology,English,10.2113/gspalynol.30.1.133,India,,,,,,,,
47990,journal article,Las primeras angiospermas en el Cretácico de la Cuenca Neuquina (Centro Oeste de Argentina): Aspectos geológicos relacionados,2006,Vallati,Revista Brasileira de Paleontologia,Spanish,10.4072/rbp.2006.1.09,Argentina,,,,,,,,
41888,journal article,"Middle Permian fusulinoideans from Hatahoko in the Nyukawa area, Gifu Prefecture, Mino Belt, central Japan",2006,Ueno,"Science Reports, Niigata University (Geology)",English,,Japan,,,,,,,,
39404,book/book chapter,Taxonomy and biogeography of seagrasses,2006,den Hartog,"Seagrasses: Biology, Ecology and Conservation",English,,The Netherlands,Australia,,,,,,,
42039,journal article,"Taxonomic names, in Gzhelian fusulinids first discovered in central Iran",2006,Leven,Stratigraphy and Geological Correlation,English,,Russia,Iran,,,,,,,
76276,journal article,"Non-geniculate coralline algae from the Uttatur Group (Early Cretaceous), south India",2006,Misra,The Palaeobotanist,English,,India,,,,,,,,
55171,book/book chapter,"Aspectos Paleoecológicos y Paleoambientales del Bosque Petrificado Ameghino (Daniano), Chubut, Argentina",2007,Brea,4th European Meeting on the Palaeontology and Stratigraphy of Latin America. Cuadernos del Museo Geominero,Spanish,ISBN 978-84-7840-707-1,Argentina,,,,,,,,
69075,journal article,"Hirmeriella muensteri (Schenk) Jung from Odrowąż (Poland), with female and male cones, and in situ Classopollis pollen grains",2007,Barbacka,Acta Palaeobotanica,English,,Hungary,Poland,,,,,,,
25284,serial monograph,Die Fauna des marinen Miozäns von Kevelaer (Niederrhein). Band 4 Gastropoda ab Mitridae,2007,Wienrich,Backhuys Publishers BV Leiden,German,,Germany,,,,,,,,
26060,journal article,"First Emilian record of the boreal-affinity bivalve Portlandia impressa Perri, 1975 from Montefiore dell'Aso (Marche, Italy)",2007,Ragaini,Bollettino della Societá Italiana,English,,Italy,,,,,,,,
27173,journal article,"Characteristic Nassellaria of the lower Tuvalian (Upper Triassic) Spongotortilispinus moixi Zone of the Huglu Unit in the Mersin Mélange,\r\nsoutheastern Turkey",2007,Kozur,Bulletin de la Société Vaudoise des Sciences Naturelles / SVSN,English,,Hungary,Switzerland,,,,,,,
75698,journal article,"The Khuff Formation (Middle East) and time-equivalents in Turkey and South China: biostratigraphy from Capitanian to Changhsingian times (Permian), new foraminiferal taxa, and palaeogeographical implications",2007,Gaillot,Coloquios de Paleontología,English,,France,,,,,,,,
62018,journal article,"Fine structures of Stephanodiscus excentricus Hust. and S. niagarae Ehrenb. from Terrebonne diatomite, Oregon, USA",2007,Tanaka,Diatom,English,,Japan,,,,,,,,
42046,serial monograph,"The Pennsylvanian-Early Permian Bird Spring carbonate shelf, southeastern California: fusulinid biostratigraphy, paleogeographic evolution, and tectonic implications",2007,Stevens,Geological Society of America Special Paper,English,,USA,,,,,,,,
87936,journal article,"Late Tremadocian radiolarian faunas and biostratigraphy of the Cow Head Group, Western Newfoundland, Canada",2007,Won,Journal of the Korean Earth Science Society,English,10.5467/JKESS.2007.28.4.497,South Korea,Canada,USA,,,,,,
33381,journal article,"Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae",2007,Albright,Journal of Vertebrate Paleontology,English,10.1671/0272-4634(2007)27[41:pftucc]2.0.co;2,USA,,,,,,,,
33387,journal article,"Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae; replacement names for the preoccupied genus Palmula and the subfamily Palmulainae",2007,Albright,Journal of Vertebrate Paleontology,English,,,,,,,,,,
73149,journal article,"Late Middle Permian (Capitanian) foraminifers in the Mikata area, Hyogo, with special reference to plasticity deformation of their test and their paleobiogeographic affinity with South China - Late Paleozoic and Early Mesozoic foraminifers of Hyogo, Japan, Part 5",2007,Kobayashi,Nature and Human Activities,English,,Japan,,,,,,,,
41753,journal article,"Permian fusulinid fauna of peri-Gondwanan affinity from the Kalmard region, east-central Iran and its significance for tectonics and paleogeography",2007,Davydov,Palaeontologia Electronica,English,,USA,Russia,,,,,,,
48201,journal article,"Early Cretaceous riparian vegetation in Patagonia, Argentina",2007,Cladera,Revista del Museo Argentino de Ciencias Naturales,English,10.22179/revmacn.9.364,,,,,,,,,
55682,journal article,"Early Cretaceous (Aptian–Albian) palynology of the Kabrit-1 borehole, onshore Northern Gulf of Suez, Egypt",2007,Mahmoud,Revista Española de Micropaleontología,English,,Egypt,UK,,,,,,,
56217,journal article,"Late Cretaceous spores, pollen and dinoflagellates from two boreholes (Nuqra-1 and 3) in the Aswan area, southeast Egypt",2007,Mahmoud,Revue de Paléobiologie,English,,,,,,,,,,
55655,journal article,"Creataceous palynology (spores, pollen and dinoflagellate cysts) of the Siqeifa 1-X borehole, Northern Egypt",2007,Mahmoud,Rivista Italiana di Paleontologia e Stratigrafia,English,,Egypt,UK,,,,,,,
77979,journal article,Neogoniolithon contii comb. nov. based on the taxonomic re-assessment of Mastrorilli's original collections from the Oligocene of NW Italy (Tertiary Piedmont Basin),2007,Quaranta,Rivista Italiana di Paleontologia e Stratigrafia,English,,Italy,,,,,,,,
41825,journal article,"Description of species, in Fusuline foraminifera from the basal part of the Sakamotozawa Formation, south Kitakami belt, northeast Japan",2007,Ueno,"Science Reports, Niigata University (Geology)",English,,Japan,,,,,,,,
48170,journal article,"Nuevos registros para la flora cretácica descripta por Halle (1913) en lago San Martín, Santa Cruz, Argentina",2007,Passalia,,Spanish,,Argentina,,,,,,,,
25851,journal article,Pleistocene Radiolaria from the Antarctic Continental Margin: Distribution and Biostratigraphy,2007,Sharma,,English,,India,Japan,,,,,,,
48148,journal article,"Estudio palinológico de la Formación Punta del Barco, Cretácico Inferior (Aptiano) de la provincia de Santa Cruz, Argentina: Descripciones sistemáticas II: esporas triletes apiculadas, murornadas, tricrasadas y perinadas. Implicancias paleoecológicas",2008,Llorens,Ameghiniana,English,,Argentina,,,,,,,,
28473,journal article,"Fasciculate rugose corals from Gzhelian and lower Permian strata, Pequop Mountains, northeast Nevada",2008,Stevens,Journal of Paleontology,English,10.1017/s0022336000055396,USA,,,,,,,,
60830,journal article,The first evidence of dinosaur tracks in the Upper Cretaceous of Poland,2008,Gierlinski,Oryctos,English,,Poland,,,,,,,,
48004,journal article,"Aptian Angiosperm Pollen from the Ticó Flora Patagonia, Argentina",2008,Archangelsky,Revista del Museo Argentino de Ciencias Naturales,English,,Argentina,,,,,,,,
77867,journal article,Revision and re-documentation of M. Airoldi's species of Lithophyllum from the Tertiary Piedmont Basin,2008,Vannucci,Rivista Italaliana di Paleontologia e Stratigrafia,English,,Italy,,,,,,,,
36750,journal article,"Fusulinoidean Faunas from the Upper Carboniferous and Lower Permian Platform Limestone in the Hadim Area, Central Taurides, Turkey",2008,Kobayashi,Rivista Italiana di Paleontologia e Stratigrafia,English,,Japan,Turkey,,,,,,,
78400,journal article,Angiospermous fossil leaves from the Siwalik foreland basins and their palaeoclimatic implications,2008,Prasad,The Palaeobotanist,English,,India,,,,,,,,
77931,journal article,Algological biostragraphy of some early Miocene sediments of the Northeastern desert (Egypt),2008,Hamad,Альгология,Russian,,Egypt,,,,,,,,
30598,journal article,The Middle Ordovician Proventocitum procerulum radiolarian assemnblage of Spitsbergen and its biostratigraphic correlation,2008,Maletz,,English,,USA,Norway,,,,,,,
52945,book,Paleobotany: The Biology and Evolution of Fossil Plants,2008,Taylor,,English,,,,,,,,,,
48166,journal article,"Palinología de la Formación Kachaike, Cretácico Inferior de la Cuenca Austral, provincia de Santa Cruz: Granos de polen de Gimnospermas.",2009,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
88513,journal article,"Palmoxylon enochii sp. nov. de la Formación Olmos (Campaniano superior-Maastrichtiano inferior), Coahuila, México",2009,Estrada-Ruiz,Ameghiniana,English,,Mexico,,,,,,,,
42116,journal article,Systematics and biostratigraphic notes of the upper Moscovian-upper Gzhelian fusulinid foraminifers from the Anatolian Platform in the Southern Turkey,2009,Okuyucu,Geologica Balcanica,English,10.52321/geolbalc.38.1-3.35,Turkey,,,,,,,,
45332,journal article,"Czekanowskia from the Jurassic of Inner Mongolia, China",2009,Sun,International Journal of Plant Sciences,English,,China,USA,,,,,,,
44171,journal article,"Geniculate Coralline Algae from the Neogene-Quaternary sediments in and around Porbandar, Southwest Coast of India",2009,Kundal,Journal geological society of India,English,,India,,,,,,,,
47642,journal article,"Rhodophycean Algae from the Lower Cretaceous of the Cauvery Basin, South India",2009,Misra,Journal geological society of India,English,,India,,,,,,,,
47438,journal article,"Lower Jurassic carbonate succession between Predole and Mlačevo, Central Slovenia",2009,Dozet,Materials and Geoenvironment,English,,Slovenia,,,,,,,,
87938,journal article,Radiolarian studies by Christian Gottfried Ehrenberg (1795–1876) and value of his species as type species of genera,2009,Suzuki,National Museum of Nature and Science Monographs,English,,Japan,,,,,,,,
43480,book/book chapter,,2009,Taylor,"Paleobotany: The Biology and Evolution of Fossil Plants, 2nd edition",English,,,,,,,,,,
56475,journal article,An Early Cretaceous (Hauterivian) Spore–Pollen Assemblage from Southern Chile,2009,Cranwell,Palynology,English,10.2113/gspalynol.33.1.241,USA,,,,,,,,
49947,journal article,"Foraminiferal turnover across the Paleocene/Eocene boundary at the Zumaya section, Spain: record of a bathyal gradual mass extinction",2009,Zili,Revista Mexicana de Ciencias Geológicas,English,,Tunisia,Spain,,,,,,,
77613,journal article,"Coralline algae from the Maniyara Fort Formation (lower Oligocene) of Kachchh, Gujarat, India",2009,Singh,"Revue de Paleobiologie, Geneve",English,,India,,,,,,,,
77854,journal article,"Non-geniculate coralline algae (Corallinales, Rhodophyta) from the Lower Oligocene of Poljsica Pri Podnartu (Northern Slovenia)",2009,Gale,Rivista Italiano di Paleontologia e Stratigrafia,English,,Slovenia,,,,,,,,
65996,journal article,"Fusuline foraminifera from the upper part of the Sakamotozawa Formation, South Kitakami Belt, northeast Japan",2009,Ueno,"Science Reports, Niigata University (Geology)",English,,Japan,,,,,,,,
42242,journal article,"Taxonomic names, in Section of Permian deposits and fusulinids in the Halvan Mountains, Yazd Province, central Iran",2009,Leven,Stratigraphy and Geological Correlation,English,,Russia,Iran,,,,,,,
80951,journal article,"Notes on elements of the Oligocene flora from the Makum Coalfield, Assam, India",2009,Mehrotra,The Palaeobotanist,English,,India,USA,,,,,,,
74311,journal article,"Middle Eocene calcareous algae from the southwestern Kachchh, Gujarat",2010,Singh,Journal Geological Society of India,English,,India,,,,,,,,
42537,journal article,"Mid-Late Devonian calcified marine algae and cyanobacteria, south China",2010,Feng,Journal of Paleontology,English,10.1017/s0022336000058340,China,USA,,,,,,,
57559,journal article,"Early Pliocene - Holocene Favia from the northern and northwestern coastal areas of Saurashtra Peninsula, western India",2010,Pandey,Journal of the Palaeontological Society of India,English,,India,,,,,,,,
50201,journal article,Lycophytes from the Middle Triassic (Anisian) Locality Kühwiesenkopf (Monte Prà Della Vacca) in the Dolomites,2010,Kustatscher,Palaeontology,English,,Italy,The Netherlands,,,,,,,
77849,journal article,Revision and Re-documentation of M. Airoldi's species of Lithothamnion from the Tertiary Piedmont Basin (NW Italy),2010,Vannucci,Rivista Italiana di Paleontologia e Stratigrafia,English,,Italy,,,,,,,,
48265,Ph.D. thesis,"Estudios anatómicos en paleofloras del Aptiano de Antártida y Patagonia, y su comparación",2010,Vera,Universidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales,Spanish,,Argentina,,,,,,,,
48096,Ph.D. thesis,Palinología del entorno cretácico/paleógeno del SO de la provincia de Santa Cruz: significado estratigráfico y paleoambiental,2010,Povilauskas,Universidad Nacional de La Plata. Facultad de Ciencias Naturales y Museo de La Plata,Spanish,,Argentina,,,,,,,,
59226,journal article,Inflorescences and flowers of Sahnipushpam Shukla from the Deccan Intertrappean beds of India,2011,Kapgate,Acta Palaeobotanica,English,,India,USA,,,,,,,
44219,journal article,"Taxonomic assessment of coralline algal species (Rhodophyta; Corallinales and Sporolithales) described by Pfender, Lemoine, and Miranda from northern Spain type localities",2011,Aguirre,Annalen des Naturhistorischen Museums in Wien,English,,Spain,Italy,,,,,,,
55229,journal article,Miocene Astelia (Asparagales: Asteliaceae) macrofossils from southern New Zealand,2011,Maciunas,Australian Systematic Botany,English,1030-1887/11/010019,Australia,New Zealand,,,,,,,
42027,journal article,"Middle Permian (Wordian) foraminifers of the Furen Limestone, Oita Prefecture, Japan",2011,Kobayashi,Humans and Nature,English,,Japan,,,,,,,,
54760,journal article,Ptilophyllum muelleri (Ettingsh.) comb. nov. from the Oligocene of Australia: Last of the Bennettitales?,2011,McLoughlin,International Journal of Plant Sciences,English,,Sweden,Australia,,,,,,,
74730,journal article,Generic distinguishing characteristics and Stratigraphic ranges of fossil Corallines: an update,2011,Kundal,Journal Geological Society of India,English,,India,,,,,,,,
74061,journal article,"Coralline algae from the Prang Formation (middle-late Eocene) of the Lumshnong area, Jaintia Hills, Meghalaya",2011,Misra,Journal Geological Society of India,English,,India,,,,,,,,
72992,journal article,Planktic foraminiferal species turnover across deep-sea Aptian/Albian boundary sections,2011,Huber,Journal of Foraminiferal Research ,English,10.2113/gsjfr.41.1.53,USA,,,,,,,,
42029,journal article,Permian fusuline faunas and biostratigraphy of the Akasaka Limestone (Japan),2011,Kobayashi,"Revue de Paléobiologie, Genève",English,,Japan,,,,,,,,
50684,journal article,"Geological Evolution of the Ulukışla Basin (Late Cretaceous - Eocene) Central Anatolia, Turkey",2011,Zorlu,Yerbilimleri,English,,Turkey,,,,,,,,
49972,book,Im Reich der Meerengel. Der Nusplinger Plattenkalk und seine Fossilien,2011,Dietl,,German,,Germany,,,,,,,,
45274,serial monograph,"Fossil Fruits and Seeds of the Middle Eocene Messel biota, Germany",2012,Collinson,Abhandlungen der Senckenbergischen Gesellschaft Naturforschenden,English,,,,,,,,,,
47174,journal article,"Devínska Kobyla- a window into the Middle Miocene shallow-water marine environments of the Central Paratethys (Vienna Basin, Slovakia)",2012,Hyzny,Acta Geologica Slovaca,English,,Slovakia,Czech Republic,,,,,,,
54213,journal article,"Coralline Algae from the Aramda Reef Member of the Chaya Formation, Mithapur, Gujarat",2012,Kishore,Journal Geological Society of India,English,,India,,,,,,,,
55475,journal article,"Aptian – Cenomanian palynozonation and paleoecology from Horous-1 well, northern Western Desert, Egypt",2012,Baioumi,Journal of Applied Sciences Research,English,,Egypt,,,,,,,,
74246,journal article,"Paleoenvironmental implications of the non-geniculate Coralline algae from the Middle Eocene Sylhet Limestone, Bengal Basin",2012,Chaurpagar,ONGC Bulletin,English,,India,,,,,,,,
46117,journal article,Palaeobathymetric gradients across Timor during 5.7–3.3 Ma and implications for collision uplift,2012,Haig,"Palaeogeography, Palaeoclimatology, Palaeoecology",English,,Australia,,,,,,,,
78159,journal article,"Hydrolithon braganum sp. nov. (Corallinaceae, Rhodophyta), the first known\r\nexclusively fossil semi-endophytic coralline red alga",2012,Woelkerling,Phycologia,English,,Australia,Italy,Japan,,,,,,
48025,journal article,"Palinología y paleoambientes en el perfil de Bajo Comisión (Cretácico), provincia de Santa Cruz, Argentina",2012,Archangelsky,Revista del Museo Argentino de Ciencias Naturales,English,,Argentina,,,,,,,,
45888,journal article,"Proposal to conserve the name Bucklandia Brongn. against Bucklandia Sternb. and Conites (fossil Gymnospermae, Cycadeoideopsida)",2012,Doweld,Taxon,English,,Russia,,,,,,,,
45937,journal article,"Proposals to conserve the name Vertebraria Royle ex McCoy (fossil Gymnospermae, Glossopteridales) against Vertebraria Roussel (Rhodymeniophyta) and Sphenophyllum indicum (V. indica) against V. australis and Clasteria australis",2012,Doweld,Taxon,English,,Russia,,,,,,,,
86131,M.S. thesis,Sistemática y paleoecología de Foraminifera (Protista) y Ostracoda (Crustacea) del Cretácico Superior-Paleoceno de Argentina en ambientes marino transicionales y continentales,2012,Carignano,,Spanish,,Argentina,,,,,,,,
69747,journal article,"Report of a Pandanaceous Fructification From the Deccan Intertrappean Beds of Mahurzari, Nagpur \r\n",2012,Sangrame,,English,,India,,,,,,,,
49130,journal article,Artinskian (Early Permian) fusuline fauna from the Rongma area in northern Tibet: palaeoclimatic and palaeobiogeographic implications,2013,Zhang,Alcheringa,English,,Australia,China,,,,,,,
47985,journal article,"Paleotropical pollen grains from the Neuquén Group, Patagonia, Argentina",2013,Vallati,Carnets de Géologie,English,,Argentina,,,,,,,,
55901,journal article,"Biostratigraphy and paleoenvironment of deposition of Bima and Gongila Formations in M-1 Well, Bornu Basin, Northeastern Nigeria",2013,Ola-Buraimo,International Journal of Scientific & Technology Reasearch,English,,Nigeria,,,,,,,,
53391,journal article,"Palynostratigraphy and Age of the Sequence Penetrated by the Kolmani River 1 Well in the Gongola Basin, Northern Benue Trough, Nigeria",2013,Nwojiji,Journal of Geosciences and Geomatics,English,10.12691/jgg-1-1-3,,,,,,,,,
74237,journal article,Coralline algae from the Bassein Formation (middle to late Eocene) of Mumbai offshore basin and its paleo environmental significance,2013,Kundal,ONGC Bulletin,English,,India,,,,,,,,
66622,journal article,"Regnellidium (Salviniales, Marsileaceae) macrofossils and associated spores from the Late Cretaceous of South America",2013,Cúneo,PloSOne,English,,Argentina,USA,,,,,,,
82244,journal article,"Paleoenvironmental model for Early Eocene larger benthic foraminiferal\r\ndeposits from south Birjand region, east Iran",2013,Babazadeh,Revue de Paleobiologie,English,,Iran,,,,,,,,
81044,journal article,"Mississippian-like rugose corals from a Bashkirian biostrome in the Tindouf Basin, S. Morocco",2013,Rodriguez,Spanish Journal of Palaeontology,English,10.7203/sjp.28.2.17858,Spain,Ireland,Morocco,,,,,,
47232,journal article,"(2152–2174) Proposals to conserve the names Abiespollenites, Alatisporites, Apiculatasporites, Cicatricosisporites, Densosporites, Elongatosporites, Faguspollenites, Gnetaceaepollenites, Granulatisporites, Juglanspollenites, Palaeoavena, Piceaepollenites, Poacordaites, Pseudoaraucaria, Quercipollenites, Sabalpollenites, Sequoiapollenites, Setosisporites, Sparganiaceaepollenites, Tuberculatisporites, Ulmipollenites, Valvisporites, Verrucosisporites (fossil plants), all hyphenated when published, with these spellings",2013,Doweld,Taxon,English,,Russia,,,,,,,,
58376,journal article,Revisions to Roland Brown's North American Paleocene Flora,2014,Manchester,Acta Musei Nationalis Pragae,English,,USA,,,,,,,,
66522,journal article,Paleobiology and paleoecology of Palaeoaplysina and Eopalaeoaplysina new genus in Arctic Canada,2014,Anderson,Journal of Paleontology,English,,Canada,,,,,,,,
50781,book chapter,Radiolarians,2014,Takahashi,Olenekian (Early Triassic) stratigraphy and fossil assemblages in northeastern Vietnam. National Museum of Nature and Science Monographs,English,,,,,,,,,,
58374,journal article,"Middle Eocene trees of the Clarno Petrified Forest, John Day Fossil Beds National Monument, Oregon",2014,Wheeler,PaleoBios,English,10.5070/p9303022471,USA,,,,,,,,
55498,book,"Cretaceous (Albian–?early Santonian) palynology and stratigraphy of the Abu Tunis 1x borehole,northern Western Desert, Egypt",2014,Deaf,Palynology,English,,Egypt,UK,,,,,,,
56172,journal article,"Caracterizacao palinofloristica e paleoambiental da Farmacao Santana (Cretaceo Inferior), Poco 4-BO-1-PE, Bacia do Araripe, Nordeste do Brasil",2014,Antunes Portela,Rev. bras. paleontol,Portugese,,Brazil,,,,,,,,
77668,journal article,Miocene calcareous algae from India: retrospect and prospect,2014,Kundal,Special publication of the Palaeontological Society of India,English,,India,,,,,,,,
65715,journal article,Fossil wood of Dipterocarpus from Nagri Formation (Middle Siwalik) of India: palaeoclimatic and phytogeographical significance,2014,Srivastava,,English,,India,,,,,,,,
53749,journal article,"Radiolarians, in Conodonts, radiolarians and ostracodes in the Permian E-Lert Formation, Loei Fold Belt, Indochina Terrane, Thailand",2015,Thassanapak,Geological Magazine,English,,Thailand,Australia,,,,,,,
67985,journal article,A new marattiaceous fern from the Lower Jurassic of Patagonia (Argentina): the renaissance of Marattiopsis,2015,Escapa,Journal of Systematic Palaeontology ,English,,Argentina,USA,,,,,,,
